scenario,seed,ground_truth_root_cause,visible_symptom,deepseek_prediction,cascad_prediction,deepseek_prediction_type,cascad_prediction_type
support_neutral,0,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,1,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,2,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,3,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,4,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,5,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,6,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,7,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,8,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,9,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,10,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,11,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,12,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,13,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,14,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,15,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,16,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,17,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,18,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,19,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
