scenario,seed,ground_truth_root_cause,visible_symptom,deepseek_prediction,cascad_prediction,deepseek_prediction_type,cascad_prediction_type
support_neutral,0,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,1,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,2,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,3,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,4,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,5,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,6,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,7,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,8,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,9,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,10,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,11,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,12,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,13,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,14,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,15,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,16,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,17,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,18,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
support_neutral,19,refund_api,refund_api,refund_api,refund_api,root_cause,root_cause
document_neutral,0,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,1,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,2,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,3,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,4,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,5,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,6,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,7,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,8,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,9,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,10,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,11,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,12,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,13,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,14,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,15,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,16,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,17,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,18,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
document_neutral,19,generate_report,generate_report,generate_report,generate_report,root_cause,root_cause
cloud_neutral,0,share,share,share,share,root_cause,root_cause
cloud_neutral,1,share,share,share,share,root_cause,root_cause
cloud_neutral,2,share,share,share,share,root_cause,root_cause
cloud_neutral,3,share,share,share,share,root_cause,root_cause
cloud_neutral,4,share,share,share,share,root_cause,root_cause
cloud_neutral,5,share,share,share,share,root_cause,root_cause
cloud_neutral,6,share,share,share,share,root_cause,root_cause
cloud_neutral,7,share,share,share,share,root_cause,root_cause
cloud_neutral,8,share,share,share,share,root_cause,root_cause
cloud_neutral,9,share,share,share,share,root_cause,root_cause
cloud_neutral,10,share,share,share,share,root_cause,root_cause
cloud_neutral,11,share,share,share,share,root_cause,root_cause
cloud_neutral,12,share,share,share,share,root_cause,root_cause
cloud_neutral,13,share,share,share,share,root_cause,root_cause
cloud_neutral,14,share,share,share,share,root_cause,root_cause
cloud_neutral,15,share,share,share,share,root_cause,root_cause
cloud_neutral,16,share,share,share,share,root_cause,root_cause
cloud_neutral,17,share,share,share,share,root_cause,root_cause
cloud_neutral,18,share,share,share,share,root_cause,root_cause
cloud_neutral,19,share,share,share,share,root_cause,root_cause
cloud_distant_symptom,0,share,notify,memory,share,other,root_cause
cloud_distant_symptom,1,share,notify,memory,share,other,root_cause
cloud_distant_symptom,2,share,notify,memory,share,other,root_cause
cloud_distant_symptom,3,share,notify,memory,share,other,root_cause
cloud_distant_symptom,4,share,notify,memory,share,other,root_cause
cloud_distant_symptom,5,share,notify,memory,share,other,root_cause
cloud_distant_symptom,6,share,notify,memory,share,other,root_cause
cloud_distant_symptom,7,share,notify,memory,share,other,root_cause
cloud_distant_symptom,8,share,notify,memory,share,other,root_cause
cloud_distant_symptom,9,share,notify,memory,share,other,root_cause
cloud_distant_symptom,10,share,notify,memory,share,other,root_cause
cloud_distant_symptom,11,share,notify,memory,share,other,root_cause
cloud_distant_symptom,12,share,notify,memory,share,other,root_cause
cloud_distant_symptom,13,share,notify,memory,share,other,root_cause
cloud_distant_symptom,14,share,notify,memory,share,other,root_cause
cloud_distant_symptom,15,share,notify,memory,share,other,root_cause
cloud_distant_symptom,16,share,notify,memory,share,other,root_cause
cloud_distant_symptom,17,share,notify,memory,share,other,root_cause
cloud_distant_symptom,18,share,notify,memory,share,other,root_cause
cloud_distant_symptom,19,share,notify,memory,share,other,root_cause
