provider,model,instance_id,ground_truth_root,visible_symptom,parsed_node,correct,selected_symptom,graph_prediction,graph_correct,prompt_sha256,latency_ms,input_tokens,output_tokens,total_tokens
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--000,tool::calculate,,tool::calculate,True,False,tool::calculate,True,29504983ad81169b0d48e8aa5de858bf23f30050da3c45133b144004cfa44713,6666.540471000189,3609,650,4259
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--001,tool::calculate,,tool::calculate,True,False,tool::calculate,True,5cf7a42795746bde638a1dfd00a44cce361f4206210406c73fd4a9f0ed6822ab,4161.640896003519,3598,374,3972
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--002,tool::calculate,,tool::calculate,True,False,tool::calculate,True,50993e04bb37d7ef4cc5ba49f96a6398d95962f2470f04d8e818659dbfa9e52e,5903.759004002495,3592,514,4106
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--003,tool::calculate,,tool::calculate,True,False,tool::calculate,True,2e22ddba59dd9d685360dec84b16fbf17e2662baab136507dd4b78b2584b1879,5022.777933998441,3588,380,3968
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--004,tool::calculate,,tool::calculate,True,False,tool::calculate,True,a8f4729f1db9f31e0be41f721d2d9e7e911ab7fd1da5891e8c70bbacbc64ba4c,4817.670302996703,3593,462,4055
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--005,tool::calculate,,tool::calculate,True,False,tool::calculate,True,b7d51ea1e81a6bde800ff27d63455d5b665b0834a0d8b208aff9b2505e91646a,5292.703448998509,3586,476,4062
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--006,tool::calculate,,tool::calculate,True,False,tool::calculate,True,a6e2007c333bbd0528208ca42f1d252e0e5586ab15b531cc0560867e1de2f17b,3703.768471998046,3592,221,3813
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--007,tool::calculate,,tool::calculate,True,False,tool::calculate,True,ab3be8e7b60d14cb67b2b63264d1ab2a1fdc2bac0115939e51a5de4500656d8a,6145.5471419976675,3606,577,4183
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--008,tool::calculate,,tool::calculate,True,False,tool::calculate,True,4d4c13e69fde7aae882730425685c350fb22e2d89100ed3131e7ab8f340090d0,6382.976979002706,3596,574,4170
deepseek,deepseek-v4-flash,controlled--full-tools-persistent-memory--mono_step--explicit_tool_error--009,tool::calculate,,tool::calculate,True,False,tool::calculate,True,3e6544b42e539a88493bea792eb8b61ddb7adfa14e03f2b8bd704422f64d7147,3253.0957530034357,3628,193,3821
